??ID,????,????,????,????,??
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:34:07"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.4","	2026-07-22 16:34:07"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:34:05"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:34:05"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:34:03"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:34:03"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:34:01"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:34:01"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:58"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:58"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:56"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:56"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:54"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	21","	2026-07-22 16:33:54"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.4","	2026-07-22 16:33:52"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:52"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:50"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:50"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:48"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:48"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:46"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:46"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:44"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	21","	2026-07-22 16:33:44"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:42"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	21","	2026-07-22 16:33:42"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:40"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:40"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:38"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:38"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:36"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:36"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:34"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:34"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:32"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	21","	2026-07-22 16:33:32"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:30"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:30"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:28"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:28"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:26"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:26"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:24"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:24"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:22"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:22"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:20"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	21","	2026-07-22 16:33:20"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:18"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	21","	2026-07-22 16:33:18"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:15"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:15"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:13"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:13"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:11"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:11"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:09"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:09"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:07"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:07"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:05"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:05"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:03"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:03"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:33:01"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:33:01"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:32:59"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:32:59"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:32:57"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:32:57"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:32:55"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:32:55"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	96.3","	2026-07-22 16:32:53"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	20.9","	2026-07-22 16:32:53"
