??ID,????,????,????,????,??
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:59"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:59"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:57"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:57"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:55"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.8","	2026-07-23 17:07:55"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:53"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:53"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:51"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:51"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:49"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:49"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:47"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:47"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:44"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:44"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.8","	2026-07-23 17:07:42"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:42"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:40"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:40"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:38"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:38"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.8","	2026-07-23 17:07:36"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:36"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:34"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.8","	2026-07-23 17:07:34"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:32"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:32"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:30"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:30"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:28"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:28"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.8","	2026-07-23 17:07:26"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:26"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:24"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:24"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.8","	2026-07-23 17:07:22"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:22"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.8","	2026-07-23 17:07:20"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.8","	2026-07-23 17:07:20"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:18"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.8","	2026-07-23 17:07:18"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:16"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.8","	2026-07-23 17:07:16"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:14"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:14"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:12"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:12"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:10"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:10"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.8","	2026-07-23 17:07:08"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:08"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:06"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:06"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:04"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:04"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:07:01"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:07:01"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:06:59"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:06:59"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:06:57"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.8","	2026-07-23 17:06:57"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.8","	2026-07-23 17:06:55"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.8","	2026-07-23 17:06:55"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:06:53"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:06:53"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:06:51"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:06:51"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.8","	2026-07-23 17:06:49"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:06:49"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:06:47"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:06:47"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:06:45"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:06:45"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:06:43"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	17.9","	2026-07-23 17:06:43"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	92.9","	2026-07-23 17:06:41"
