??ID,????,????,????,????,??
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:58:01"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:58:01"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:59"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:59"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:57"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:57"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:55"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:55"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:53"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:53"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.6","	2026-07-23 16:57:50"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:50"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.6","	2026-07-23 16:57:48"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:48"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:46"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:46"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:44"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:57:44"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:42"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:42"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:40"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:40"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:38"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:38"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:36"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:36"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:34"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:34"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:32"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:57:32"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:30"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:57:30"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:28"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:57:28"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:26"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:26"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:24"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:57:24"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:22"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:22"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.6","	2026-07-23 16:57:20"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:20"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:18"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:18"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:16"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:16"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:14"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:14"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:12"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:12"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:09"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:09"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:07"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:07"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:05"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:57:05"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.6","	2026-07-23 16:57:03"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:03"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:57:01"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:57:01"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:59"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:56:59"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:57"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:56:57"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:55"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:56:55"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:53"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:56:53"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:51"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:56:51"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:49"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:56:49"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:47"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:56:47"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:45"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:56:45"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:43"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:56:43"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.6","	2026-07-23 16:56:41"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:56:41"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:39"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:56:39"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:37"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.6","	2026-07-23 16:56:37"
"	69BA0CDE","	Chamber1","	1","	B01??(%RH)","	93.5","	2026-07-23 16:56:35"
"	69BA0CDE","	Chamber1","	1","	B01??(?)","	17.5","	2026-07-23 16:56:35"
