??ID,????,????,????,????,??
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.4","	2026-07-24 23:58:51"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:51"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.5","	2026-07-24 23:58:49"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:49"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.6","	2026-07-24 23:58:47"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:47"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.6","	2026-07-24 23:58:45"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:45"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.7","	2026-07-24 23:58:43"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:43"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.7","	2026-07-24 23:58:41"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:41"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.7","	2026-07-24 23:58:39"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:39"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.8","	2026-07-24 23:58:37"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:37"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	94.9","	2026-07-24 23:58:35"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:35"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	95","	2026-07-24 23:58:33"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:33"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	95.2","	2026-07-24 23:58:31"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:31"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	95.3","	2026-07-24 23:58:29"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:29"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	95.5","	2026-07-24 23:58:27"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:27"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	95.6","	2026-07-24 23:58:24"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:24"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	95.7","	2026-07-24 23:58:22"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.7","	2026-07-24 23:58:22"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	95.9","	2026-07-24 23:58:20"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:20"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	96","	2026-07-24 23:58:18"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:18"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	96.1","	2026-07-24 23:58:16"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:16"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	96.2","	2026-07-24 23:58:14"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:14"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	96.2","	2026-07-24 23:58:12"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:12"
"	69BA0CED","	Chamber2","	1","	B01??(%RH)","	96.3","	2026-07-24 23:58:10"
"	69BA0CED","	Chamber2","	1","	B01??(?)","	19.6","	2026-07-24 23:58:10"
